Vector Size,Iteration,Assembly Time (s), C Time (s)
268435456,1,28.392000,40.209000
,2,16.923000,24.344000
,3,7.374000,23.507000
,4,4.737000,22.410000
,5,4.819000,21.756000
,6,5.086000,20.094000
,7,4.840000,22.966000
,8,4.839000,14.965000
,9,5.641000,16.440000
,10,5.069000,17.853000
,11,4.977000,16.272000
,12,4.966000,14.751000
,13,5.047000,16.158000
,14,4.731000,14.300000
,15,4.949000,15.091000
,16,4.685000,13.833000
,17,4.740000,9.832000
,18,4.941000,9.603000
,19,4.837000,9.874000
,20,4.823000,12.484000
,21,4.812000,23.231000
,22,4.835000,22.222000
,23,4.686000,17.888000
,24,5.111000,15.092000
,25,4.667000,16.988000
,26,4.798000,15.307000
,27,4.811000,14.536000
,28,4.673000,11.504000
,29,4.735000,12.540000
,30,4.781000,13.710000

, , Average Time (s): 6.144167, Average Time (s): 17.325333
