Vector Size,Iteration,Assembly Time (s), C Time (s)
16777216,1,0.312000,0.712000
,2,0.307000,0.678000
,3,0.277000,0.696000
,4,0.278000,0.708000
,5,0.279000,0.638000
,6,0.281000,0.667000
,7,0.280000,0.708000
,8,0.282000,0.660000
,9,0.281000,0.672000
,10,0.282000,0.723000
,11,0.285000,0.719000
,12,0.278000,0.687000
,13,0.281000,0.744000
,14,0.278000,0.748000
,15,0.278000,0.721000
,16,0.296000,0.719000
,17,0.280000,0.667000
,18,0.280000,0.701000
,19,0.279000,0.650000
,20,0.281000,0.673000
,21,0.279000,0.653000
,22,0.281000,0.687000
,23,0.277000,0.662000
,24,0.278000,0.708000
,25,0.278000,0.684000
,26,0.323000,0.658000
,27,0.370000,0.646000
,28,0.333000,0.652000
,29,0.337000,0.664000
,30,0.297000,0.661000

, , Average Time (s): 0.290933, Average Time (s): 0.685533
