Vector Size,Iteration,Assembly Time (s), C Time (s)
16777216,1,0.301000,0.122000
,2,0.287000,0.115000
,3,0.287000,0.113000
,4,0.293000,0.110000
,5,0.291000,0.109000
,6,0.296000,0.104000
,7,0.286000,0.107000
,8,0.302000,0.108000
,9,0.282000,0.110000
,10,0.299000,0.117000
,11,0.280000,0.117000
,12,0.281000,0.114000
,13,0.281000,0.110000
,14,0.277000,0.104000
,15,0.274000,0.115000
,16,0.283000,0.115000
,17,0.276000,0.115000
,18,0.275000,0.115000
,19,0.279000,0.105000
,20,0.276000,0.111000
,21,0.279000,0.116000
,22,0.276000,0.111000
,23,0.278000,0.104000
,24,0.290000,0.107000
,25,0.278000,0.107000
,26,0.276000,0.108000
,27,0.278000,0.108000
,28,0.295000,0.116000
,29,0.283000,0.116000
,30,0.280000,0.114000

, , Average Time (s): 0.283967, Average Time (s): 0.111433
